pagec,content_type,type,agency,dest,byte_len,is_avail,fn,type_text
3,docx,0,Career Executive Service Board,Career Executive Service Board/summary.txt,9764,True,03-CESB2020_Executive_Summary.docx,Executive Summary
5,docx,0,Civil Service Commission,Civil Service Commission/summary.txt,12487,True,03-CSC2020_Executive_Summary.docx,Executive Summary
5,docx,0,Commission on Human Rights,Commission on Human Rights/summary.txt,10591,True,03-CHR2020_Executive_Summary.docx,Executive Summary
5,docx,0,Human Rights Violations Victims’ Memorial Commission,Human Rights Violations Victims’ Memorial Commission/summary.txt,10963,True,03-HRVVMC2020_Executive_Summary.docx,Executive Summary
1,docx,3,Office of the Ombudsman - Management Letter,Office of the Ombudsman - Management Letter/summary.txt,124008,True,02-OMB2020_Management_Letter.docx,Management Letter
60,docx,3,Department of Agrarian Reform - Management Letter,Department of Agrarian Reform - Management Letter/summary.txt,139344,True,02-DAR2020_Management_Letter.docx,Management Letter
9,docx,0,Department of Agriculture,Department of Agriculture/summary.txt,20469,True,03-DA2020_Executive_Summary.docx,Executive Summary
4,docx,0,Agricultural Credit Policy Council,Agricultural Credit Policy Council/summary.txt,8073,True,03-ACPC2020_Executive_Summary.docx,Executive Summary
57,docx,3,Bureau of Fisheries and Aquatic Resources - Management Letter,Bureau of Fisheries and Aquatic Resources - Management Letter/summary.txt,129816,True,02-BFAR2020_Consolidated_Management_Letter.docx,Management Letter
5,docx,0,Fertilizer and Pesticide Authority,Fertilizer and Pesticide Authority/summary.txt,10502,True,03-FPA2020_Executive_Summary.docx,Executive Summary
4,docx,0,National Fisheries Research and Development Institute,National Fisheries Research and Development Institute/summary.txt,9610,True,03-NFRDI2020_Executive_Summary.docx,Executive Summary
5,docx,0,Philippine Council for Agriculture and Fisheries,Philippine Council for Agriculture and Fisheries/summary.txt,10237,True,03-PCAF2020_Executive_Summary.docx,Executive Summary
6,docx,0,National Meat Inspection Service,National Meat Inspection Service/summary.txt,13286,True,03-NMIS2020_Executive_Summary.docx,Executive Summary
27,docx,3,Philippine Fiber Industry Development Authority - Management Letter,Philippine Fiber Industry Development Authority - Management Letter/summary.txt,56381,True,02-PHILFIDA2020_Management_Letter.docx,Management Letter
9,docx,0,Department of Environment and Natural Resources,Department of Environment and Natural Resources/summary.txt,20937,True,03-DENR2020_Executive_Summary.docx,Executive Summary
5,docx,0,Mines and Geosciences Bureau,Mines and Geosciences Bureau/summary.txt,10717,True,03-MGB2020_Executive_Summary.docx,Executive Summary
3,docx,0,National Mapping and Resource Information Authority,National Mapping and Resource Information Authority/summary.txt,12082,True,03-NAMRIA2020_Executive_Summary.docx,Executive Summary
4,docx,0,National Water Resources Board,National Water Resources Board/summary.txt,7268,True,03-NWRB2020_Executive_Summary.docx,Executive Summary
3,docx,0,Department of Human Settlements and Urban Development,Department of Human Settlements and Urban Development/summary.txt,14806,True,03-DHSUD2020_Executive_Summary.docx,Executive Summary
7,docx,0,Department of Justice,Department of Justice/summary.txt,15555,True,03-DOJ2020_Executive_Summary.docx,Executive Summary
6,docx,0,Bureau of Corrections,Bureau of Corrections/summary.txt,16346,True,03-BUCOR2020_Executive_Summary.docx,Executive Summary
7,docx,0,Bureau of Immigration,Bureau of Immigration/summary.txt,17948,True,03-BI2020_Executive_Summary.docx,Executive Summary
10,docx,0,Land Registration Authority,Land Registration Authority/summary.txt,26530,True,03-LRA2020_Executive_Summary.docx,Executive Summary
7,docx,0,National Bureau of Investigation,National Bureau of Investigation/summary.txt,15420,True,03-NBI2020_Executive_Summary.docx,Executive Summary
4,docx,0,Office of the Government Corporate Counsel,Office of the Government Corporate Counsel/summary.txt,6985,True,03-OGCC2020_Executive_Summary.docx,Executive Summary
3,docx,0,Office of the Solicitor General,Office of the Solicitor General/summary.txt,11301,True,03-OSG2020_Executive_Summary.docx,Executive Summary
5,docx,0,Parole and Probation Administration,Parole and Probation Administration/summary.txt,10838,True,03-PPA2020_Executive_Summary.docx,Executive Summary
3,docx,0,Presidential Commission on Good Government,Presidential Commission on Good Government/summary.txt,16005,True,03-PCGG2020_Executive_Summary.docx,Executive Summary
5,docx,0,Public Attorney's Office,Public Attorney's Office/summary.txt,12077,True,03-PAO2020_Executive_Summary.docx,Executive Summary
4,docx,0,Department of National Defense,Department of National Defense/summary.txt,9144,True,03-DND2020_Executive_Summary.docx,Executive Summary
5,docx,0,Armed Forces of the Philippines Commissary and Exchange Service,Armed Forces of the Philippines Commissary and Exchange Service/summary.txt,9666,True,03-AFPCES2020_Executive_Summary.docx,Executive Summary
9,docx,0,"General Headquarters, Armed Forces of the Philippines","General Headquarters, Armed Forces of the Philippines/summary.txt",24323,True,03-GHQ-AFP2020_Executive_Summary.docx,Executive Summary
3,docx,0,National Defense College of the Philippines,National Defense College of the Philippines/summary.txt,6183,True,03-NDCP2020_Executive_Summary.docx,Executive Summary
5,docx,0,Office of Civil Defense,Office of Civil Defense/summary.txt,14334,True,03-OCD2020_Executive_Summary.docx,Executive Summary
3,docx,0,Philippine Air Force,Philippine Air Force/summary.txt,22080,True,03-PAF2020_Executive_Summary.docx,Executive Summary
3,docx,0,Philippine Army,Philippine Army/summary.txt,15805,True,03-PA2020_Executive_Summary.docx,Executive Summary
3,docx,0,Philippine Navy,Philippine Navy/summary.txt,17054,True,03-PN2020_Executive Summary.docx,Executive Summary
